,tract_id,mar_19,mar_20,mar_21,20_19,21_20,nor_20_19,nor_21_20,average_car,pctWhite,pctBlack,pctIndian,pctAsian,pctHispanic,pctPoverty,pctVacant,pctBachelors,MedHHInc,MedRent,income_quantile,geometry,borough
1466,36081028500,1409,599,325,-810,-274,-0.5748757984386089,-0.4574290484140234,0.5266503667481662,0.3663525165430118,0.0148385803088028,0.0,0.1682374172849408,0.1682374172849408,0.1485863244435532,0.0746606334841629,0.0036093843994385,78508,1384,Mid,"POLYGON ((-73.885789 40.747448, -73.886718 40.74735, -73.887648 40.747253, -73.88771800000001 40.747638, -73.88786399999999 40.748445, -73.88803 40.749364, -73.888402 40.751405, -73.88875 40.75331, -73.888757 40.753349, -73.88782399999999 40.753444, -73.88783100000001 40.753476, -73.888158 40.755274, -73.887229 40.755372, -73.88630000000001 40.755469, -73.885974 40.753679, -73.88596699999999 40.753642, -73.885958 40.753594, -73.885614 40.751698, -73.886544 40.7516, -73.886169 40.749561, -73.885789 40.747448))",Queens
1467,36081028700,1655,909,499,-746,-410,-0.4507552870090634,-0.451045104510451,0.4068991097922849,0.2971555696805975,0.0058795487049102,0.0,0.2631495312251708,0.2631495312251708,0.1214047354203082,0.0748112560054907,0.0023836008263149,66016,1347,Mid,"POLYGON ((-73.887648 40.747253, -73.88778499999999 40.747237, -73.888679 40.747143, -73.889573 40.747047, -73.890503 40.74695, -73.89057699999999 40.747351, -73.890586 40.747399, -73.890894 40.749, -73.89082000000001 40.749069, -73.89119100000001 40.75111, -73.890264 40.751208, -73.890339 40.751623, -73.890463 40.752313, -73.890607 40.753111, -73.890615 40.753153, -73.890621 40.753189, -73.89094900000001 40.754982, -73.89001500000001 40.755079, -73.889089 40.755175, -73.888158 40.755274, -73.88783100000001 40.753476, -73.88782399999999 40.753444, -73.888757 40.753349, -73.88875 40.75331, -73.888402 40.751405, -73.88803 40.749364, -73.88786399999999 40.748445, -73.88771800000001 40.747638, -73.887648 40.747253))",Queens
1468,36081028900,1395,662,456,-733,-206,-0.5254480286738351,-0.311178247734139,0.5082048731974143,0.2595967429236138,0.0137650252035672,0.0,0.3470337340054285,0.3470337340054285,0.0866614967041489,0.0949594959495949,0.0054284606436603,68089,1545,Mid,"POLYGON ((-73.890503 40.74695, -73.89143300000001 40.746853, -73.891752 40.74682, -73.89241 40.747144, -73.89270999999999 40.748871, -73.893049 40.750916, -73.893126 40.751344, -73.893317 40.752404, -73.89339099999999 40.752817, -73.893399 40.752861, -73.893406 40.752898, -73.89363400000001 40.754134, -73.893736 40.754689, -73.892805 40.754786, -73.891882 40.754882, -73.89094900000001 40.754982, -73.890621 40.753189, -73.890615 40.753153, -73.890607 40.753111, -73.890463 40.752313, -73.890339 40.751623, -73.890264 40.751208, -73.89119100000001 40.75111, -73.89082000000001 40.749069, -73.890894 40.749, -73.890586 40.747399, -73.89057699999999 40.747351, -73.890503 40.74695))",Queens
1469,36081029100,2928,1861,1136,-1067,-725,-0.3644125683060109,-0.3895754970445996,0.6310767832803271,0.1069409547738693,0.0164886934673366,0.0056532663316582,0.5865263819095478,0.5865263819095478,0.0810301507537688,0.1056481105241771,0.0081658291457286,57989,1414,Mid,"POLYGON ((-73.89241 40.747144, -73.893799 40.7477, -73.89527699999999 40.748326, -73.895411 40.748382, -73.895646 40.748482, -73.895729 40.748519, -73.895816 40.748559, -73.895859 40.748578, -73.89605299999999 40.748658, -73.896111 40.748678, -73.896147 40.748688, -73.896244 40.748728, -73.89636 40.748779, -73.896529 40.749071, -73.896867 40.749615, -73.897076 40.749953, -73.89714499999999 40.750079, -73.89720699999999 40.750206, -73.897262 40.750336, -73.897311 40.750467, -73.897398 40.750812, -73.89746 40.751072, -73.897481 40.751157, -73.89757400000001 40.751773, -73.897595 40.752047, -73.897611 40.752138, -73.89763000000001 40.752229, -73.89765300000001 40.752312, -73.897679 40.752394, -73.897684 40.752408, -73.897734 40.752546, -73.897792 40.752682, -73.897859 40.752816, -73.89793299999999 40.752947, -73.898217 40.753375, -73.89840100000001 40.753651, -73.898667 40.754053, -73.89874 40.754162, -73.89863099999999 40.75417, -73.898544 40.754178, -73.897925 40.754248, -73.897503 40.754289, -73.896524 40.754397, -73.895591 40.754493, -73.894662 40.754592, -73.893736 40.754689, -73.89363400000001 40.754134, -73.893406 40.752898, -73.893399 40.752861, -73.89339099999999 40.752817, -73.893317 40.752404, -73.893126 40.751344, -73.893049 40.750916, -73.89270999999999 40.748871, -73.89241 40.747144))",Queens
1470,36081029300,602,312,205,-290,-107,-0.4817275747508305,-0.3429487179487179,0.8675078864353313,0.0972477064220183,0.0,0.0,0.7146788990825688,0.7146788990825688,0.0440366972477064,0.0994318181818181,0.0357798165137614,65982,1566,Mid,"POLYGON ((-73.89636 40.748779, -73.89645899999999 40.748818, -73.896871 40.749002, -73.89757899999999 40.749308, -73.898392 40.749651, -73.898579 40.74973, -73.89922900000001 40.750011, -73.899635 40.750179, -73.899714 40.750212, -73.900053 40.750361, -73.90078800000001 40.750674, -73.90106400000001 40.750791, -73.90076500000001 40.751478, -73.90087200000001 40.752071, -73.90133 40.752026, -73.90156 40.752003, -73.902159 40.75194, -73.902277 40.752605, -73.902474 40.753771, -73.902123 40.753809, -73.90121499999999 40.75391, -73.90030400000001 40.754, -73.899575 40.754072, -73.89921699999999 40.754114, -73.89874 40.754162, -73.898667 40.754053, -73.89840100000001 40.753651, -73.898217 40.753375, -73.89793299999999 40.752947, -73.897859 40.752816, -73.897792 40.752682, -73.897734 40.752546, -73.897684 40.752408, -73.897679 40.752394, -73.89765300000001 40.752312, -73.89763000000001 40.752229, -73.897611 40.752138, -73.897595 40.752047, -73.89757400000001 40.751773, -73.897481 40.751157, -73.89746 40.751072, -73.897398 40.750812, -73.897311 40.750467, -73.897262 40.750336, -73.89720699999999 40.750206, -73.89714499999999 40.750079, -73.897076 40.749953, -73.896867 40.749615, -73.896529 40.749071, -73.89636 40.748779))",Queens
1471,36081029400,1985,1082,592,-903,-490,-0.454911838790932,-0.4528650646950092,1.2733245729303548,0.0148571428571428,0.8257142857142857,0.0,0.0538571428571428,0.0538571428571428,0.0728571428571428,0.1198920585967617,0.0091428571428571,78199,1442,Mid,"POLYGON ((-73.775673 40.673396, -73.77458 40.671946, -73.774497 40.671836, -73.77365500000001 40.670709, -73.773124 40.67003, -73.77248899999999 40.669201, -73.77222500000001 40.668854, -73.77192100000001 40.668455, -73.771546 40.667972, -73.773426 40.668036, -73.77431199999999 40.66799, -73.77522500000001 40.667923, -73.77611899999999 40.667854, -73.77701500000001 40.667785, -73.777914 40.667723, -73.779706 40.667598, -73.780627 40.667532, -73.78179900000001 40.667449, -73.782656 40.667377, -73.78329100000001 40.66734, -73.785026 40.667238, -73.78566499999999 40.667196, -73.78697099999999 40.667093, -73.789411 40.666849, -73.789159 40.668346, -73.788832 40.669832, -73.788478 40.671335, -73.788088 40.673018, -73.78657699999999 40.672775, -73.786429 40.672723, -73.78628500000001 40.672666, -73.78614399999999 40.672604, -73.786008 40.672536, -73.785876 40.672464, -73.785748 40.672388, -73.78571100000001 40.672495, -73.785325 40.673133, -73.785112 40.673487, -73.784845 40.673912, -73.784346 40.674705, -73.78416900000001 40.674919, -73.783975 40.675126, -73.783975 40.675126, -73.783975 40.675126, -73.78376400000001 40.675324, -73.78376400000001 40.675324, -73.78376400000001 40.675324, -73.78353799999999 40.675511, -73.783297 40.675688, -73.783044 40.675852, -73.782219 40.676446, -73.78157299999999 40.67691, -73.781284 40.677118, -73.780953 40.677362, -73.78026 40.677849, -73.77948000000001 40.678373, -73.779387 40.678258, -73.779084 40.677882, -73.77862 40.677272, -73.77808400000001 40.676565, -73.77714 40.675323, -73.775673 40.673396))",Queens
1472,36081029500,1046,575,384,-471,-191,-0.4502868068833652,-0.3321739130434782,0.6379310344827587,0.361188228761799,0.0186007773459189,0.0,0.3176013325930039,0.3176013325930039,0.0710716268739589,0.063437139561707,0.0158245419211549,69534,1589,Mid,"POLYGON ((-73.904918 40.753514, -73.905866 40.753412, -73.90611800000001 40.753387, -73.90668700000001 40.753316, -73.90691 40.753293, -73.907596 40.753231, -73.908238 40.753171, -73.91023300000001 40.752985, -73.90995599999999 40.753226, -73.909695 40.753478, -73.90945000000001 40.75374, -73.90922999999999 40.754001, -73.909223 40.75401, -73.909176 40.754072, -73.909014 40.754288, -73.908795 40.754694, -73.90877 40.75474, -73.908738 40.754799, -73.908715 40.754841, -73.908682 40.754902, -73.908658 40.754946, -73.908626 40.755005, -73.908604 40.755046, -73.908551 40.755145, -73.90853300000001 40.755178, -73.90851000000001 40.755219, -73.908467 40.7553, -73.908407 40.755461, -73.90835800000001 40.755592, -73.908309 40.755724, -73.908277 40.755809, -73.908244 40.755898, -73.908208 40.755995, -73.90817300000001 40.756087, -73.908137 40.756183, -73.908102 40.756279, -73.908062 40.756384, -73.90802600000001 40.756483, -73.907989 40.75658, -73.90795 40.756684, -73.90783 40.757008, -73.90753599999999 40.758053, -73.907059 40.758686, -73.90649500000001 40.759572, -73.906325 40.759845, -73.905441 40.759596, -73.9051 40.759541, -73.904563 40.759494, -73.904742 40.758096, -73.904848 40.757263, -73.90510399999999 40.757236, -73.905576 40.757186, -73.90551000000001 40.756822, -73.90536 40.755995, -73.905295 40.755636, -73.905237 40.755312, -73.905129 40.754719, -73.904918 40.753514))",Queens
1473,36081029700,750,410,309,-340,-101,-0.4533333333333333,-0.2463414634146341,0.929745889387145,0.2747791952894995,0.0058881256133464,0.0,0.2281648675171737,0.2281648675171737,0.0863591756624141,0.061711079943899,0.0338567222767419,64135,1768,Mid,"POLYGON ((-73.898774 40.759924, -73.898663 40.759929, -73.898556 40.759932, -73.899002 40.759318, -73.899045 40.759252, -73.899339 40.7588, -73.899418 40.758638, -73.89949 40.758475, -73.89955399999999 40.758309, -73.89961099999999 40.758142, -73.89966 40.757973, -73.899703 40.757804, -73.899704 40.757797, -73.899719 40.757722, -73.89973500000001 40.757614, -73.89973999999999 40.757536, -73.89973999999999 40.757482, -73.899738 40.757419, -73.899733 40.75737, -73.89972299999999 40.757306, -73.89971199999999 40.757252, -73.899593 40.756564, -73.89948200000001 40.756255, -73.899226 40.75555, -73.89912200000001 40.755315, -73.89899200000001 40.755035, -73.898971 40.754989, -73.898878 40.754755, -73.898864 40.75472, -73.898605 40.754286, -73.898544 40.754178, -73.89863099999999 40.75417, -73.89874 40.754162, -73.89921699999999 40.754114, -73.899575 40.754072, -73.90030400000001 40.754, -73.90121499999999 40.75391, -73.902123 40.753809, -73.902474 40.753771, -73.902991 40.753717, -73.903924 40.75362, -73.904918 40.753514, -73.905129 40.754719, -73.905237 40.755312, -73.905295 40.755636, -73.90536 40.755995, -73.90551000000001 40.756822, -73.905576 40.757186, -73.90510399999999 40.757236, -73.904848 40.757263, -73.904742 40.758096, -73.904563 40.759494, -73.9051 40.759541, -73.905441 40.759596, -73.906325 40.759845, -73.906998 40.760153, -73.907405 40.760342, -73.90779499999999 40.760526, -73.907532 40.760853, -73.907421 40.76099, -73.90704100000001 40.761461, -73.90678 40.761786, -73.90651200000001 40.762118, -73.90625799999999 40.762433, -73.90607 40.762669, -73.90566200000001 40.763176, -73.90519399999999 40.763759, -73.90451400000001 40.764597, -73.90370900000001 40.765605, -73.90359100000001 40.765762, -73.903571 40.76579, -73.903514 40.765858, -73.903504 40.765835, -73.903251 40.765228, -73.90293699999999 40.76448, -73.902925 40.764451, -73.90269600000001 40.763904, -73.90263899999999 40.763759, -73.902371 40.763124, -73.90233499999999 40.76304, -73.902176 40.762667, -73.902074 40.762389, -73.90199699999999 40.76213, -73.90190200000001 40.761748, -73.90166499999999 40.760797, -73.90175499999999 40.760784, -73.90182 40.760768, -73.901685 40.760242, -73.90152999999999 40.759636, -73.901472 40.759641, -73.901402 40.759648, -73.901276 40.75966, -73.899019 40.759899, -73.898869 40.759912, -73.898774 40.759924))",Queens
1474,36081030600,926,712,319,-214,-393,-0.2311015118790496,-0.5519662921348315,1.2147651006711409,0.0329831932773109,0.8344537815126051,0.0,0.0361344537815126,0.0361344537815126,0.1281512605042016,0.0190197512801755,0.0119747899159663,76755,1388,Mid,"POLYGON ((-73.771546 40.667972, -73.766755 40.667441, -73.76697 40.667028, -73.766992 40.66698, -73.76702400000001 40.666916, -73.76713100000001 40.666704, -73.767306 40.666313, -73.767616 40.66567, -73.767804 40.665302, -73.76830699999999 40.664476, -73.768592 40.664027, -73.768996 40.663519, -73.769576 40.662808, -73.77015400000001 40.662132, -73.77064799999999 40.661599, -73.770959 40.661206, -73.771449 40.660643, -73.77375600000001 40.659714, -73.773831 40.659659, -73.773937 40.659636, -73.774231 40.659797, -73.774396 40.659866, -73.775102 40.660161, -73.775268 40.660209, -73.77554000000001 40.660287, -73.77647 40.660555, -73.77686199999999 40.660668, -73.776906 40.66068, -73.777102 40.660759, -73.77735699999999 40.660861, -73.778704 40.661489, -73.778768 40.661519, -73.778717 40.661604, -73.778769 40.661624, -73.779331 40.661848, -73.779195 40.661699, -73.779819 40.661965, -73.780333 40.662151, -73.78055000000001 40.662229, -73.780788 40.662315, -73.781243 40.662479, -73.781313 40.6625, -73.781522 40.662563, -73.78204100000001 40.66272, -73.78214699999999 40.662749, -73.78237900000001 40.662811, -73.783417 40.663091, -73.784256 40.663267, -73.784402 40.663298, -73.784851 40.663392, -73.785027 40.663429, -73.786186 40.663618, -73.787513 40.663833, -73.788118 40.663914, -73.789845 40.664144, -73.78990899999999 40.664153, -73.789969 40.664162, -73.79006099999999 40.664175, -73.79058000000001 40.664252, -73.791191 40.664341, -73.791996 40.664448, -73.79256599999999 40.664523, -73.79394499999999 40.664711, -73.79522799999999 40.664886, -73.795821 40.664964, -73.79589199999999 40.664972, -73.79641599999999 40.665029, -73.797014 40.665082, -73.797614 40.665121, -73.79786 40.665134, -73.79982099999999 40.665268, -73.801222 40.665284, -73.801802 40.665259, -73.80188800000001 40.665257, -73.80203299999999 40.665256, -73.80215 40.665258, -73.801931 40.665894, -73.801811 40.666263, -73.801806 40.666276, -73.801789 40.666333, -73.801771 40.666382, -73.801636 40.666766, -73.801557 40.666762, -73.80148199999999 40.666758, -73.80139200000001 40.666755, -73.801288 40.66675, -73.800414 40.666688, -73.79972600000001 40.666578, -73.799424 40.666529, -73.799198 40.666526, -73.79897099999999 40.666536, -73.798744 40.666561, -73.79852099999999 40.666599, -73.798304 40.666651, -73.79809400000001 40.666715, -73.797279 40.666952, -73.797112 40.666958, -73.796588 40.666952, -73.796064 40.666951, -73.79554 40.666958, -73.795016 40.666971, -73.794493 40.66699, -73.79397 40.667015, -73.79319599999999 40.667067, -73.79306800000001 40.667076, -73.792186 40.66705, -73.79130000000001 40.666979, -73.790397 40.666896, -73.789411 40.666849, -73.78697099999999 40.667093, -73.78566499999999 40.667196, -73.785026 40.667238, -73.78329100000001 40.66734, -73.782656 40.667377, -73.78179900000001 40.667449, -73.780627 40.667532, -73.779706 40.667598, -73.777914 40.667723, -73.77701500000001 40.667785, -73.77611899999999 40.667854, -73.77522500000001 40.667923, -73.77431199999999 40.66799, -73.773426 40.668036, -73.771546 40.667972))",Queens
1475,36081030903,1998,1225,932,-773,-293,-0.3868868868868869,-0.2391836734693877,0.9630314232902032,0.0976931142957008,0.0200978678783642,0.0066410346032855,0.3872771758126529,0.3872771758126529,0.0838867528836071,0.2561869844179651,0.024117441454037,78590,1711,Mid,"POLYGON ((-73.88630000000001 40.755469, -73.887229 40.755372, -73.888158 40.755274, -73.889089 40.755175, -73.89001500000001 40.755079, -73.89094900000001 40.754982, -73.891882 40.754882, -73.892805 40.754786, -73.89318900000001 40.756906, -73.893474 40.758459, -73.89383100000001 40.760444, -73.8929 40.760541, -73.891976 40.760639, -73.89105499999999 40.760737, -73.89011499999999 40.760835, -73.88918700000001 40.760931, -73.88825799999999 40.76103, -73.88732899999999 40.761127, -73.886966 40.759142, -73.88668699999999 40.757594, -73.88630000000001 40.755469))",Queens
