,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21,income_high_20_19,income_high_21_20,income_low_20_19,income_low_21_20,high_low_perct_20_19,high_low_perct_21_20,income_high_low_19,income_high_low_20,income_high_low_21,high_low_change_20_19
0,1.0,166,0.0,0,36005000200,0.9607843137254902,98,0.0392156862745098,4,1.0,105,0.0,0,-0.40963855421686746,0.07142857142857142,1.0,-1.0,-1.4096385542168675,1.0714285714285714,166,94,105,105
1,0.9923736892278361,1041,0.0076263107721639654,8,36005000400,1.0,634,0.0,0,0.9783393501805054,542,0.021660649819494584,12,-0.3909702209414025,-0.14511041009463724,-inf,inf,inf,-inf,1033,634,530,530
2,1.0,74,0.0,0,36005001600,1.0,66,0.0,0,1.0,37,0.0,0,-0.10810810810810811,-0.4393939393939394,,,,,74,66,37,37
3,0.9923664122137404,520,0.007633587786259542,4,36005001900,1.0,480,0.0,0,1.0,219,0.0,0,-0.07692307692307693,-0.54375,-inf,,inf,,516,480,219,219
4,0.979381443298969,380,0.020618556701030927,8,36005002300,1.0,480,0.0,0,1.0,171,0.0,0,0.2631578947368421,-0.64375,-inf,,inf,,372,480,171,171
