,Unnamed: 0,agg_visits,tract_id_ori,income_quantile_ori,tract_id_dest,income_quantile_dest
0,0,40,36005000200,Mid,36005000200,Mid
1,1,38,36005000200,Mid,36005000400,Mid
2,2,4,36005000200,Mid,36005004100,Bot
3,3,29,36005000200,Mid,36005004200,Bot
4,4,4,36005000200,Mid,36005004400,Bot
5,5,22,36005000200,Mid,36005004600,Bot
6,6,5,36005000200,Mid,36005005100,Bot
7,7,8,36005000200,Mid,36005006300,Bot
8,8,4,36005000200,Mid,36005006700,Bot
9,9,7,36005000200,Mid,36005007200,Bot
10,10,4,36005000200,Mid,36005007700,Bot
11,11,8,36005000200,Mid,36005008700,Bot
12,12,11,36005000200,Mid,36005009000,Bot
13,13,4,36005000200,Mid,36005011502,Bot
14,14,29,36005000200,Mid,36005011700,Bot
15,15,8,36005000200,Mid,36005011900,Bot
16,16,4,36005000200,Mid,36005014500,Bot
17,17,4,36005000200,Mid,36005015200,Mid
18,18,4,36005000200,Mid,36005016600,Mid
19,19,4,36005000200,Mid,36005017300,Bot
20,20,4,36005000200,Mid,36005021001,Mid
21,21,22,36005000200,Mid,36005021602,Mid
22,22,4,36005000200,Mid,36005021800,Mid
23,23,8,36005000200,Mid,36005022200,Mid
24,24,5,36005000200,Mid,36005022403,Mid
25,25,6,36005000200,Mid,36005023200,Mid
26,26,8,36005000200,Mid,36005024700,Mid
27,27,4,36005000200,Mid,36005025100,Bot
28,28,4,36005000200,Mid,36005026602,Mid
29,29,4,36005000200,Mid,36005030000,Mid
30,30,4,36005000200,Mid,36005030200,Mid
31,31,4,36005000200,Mid,36005034800,Bot
32,32,4,36005000200,Mid,36005037100,Bot
33,33,4,36005000200,Mid,36005038302,Bot
34,34,4,36005000200,Mid,36005039500,Bot
35,35,4,36005000200,Mid,36005039700,Bot
36,36,28,36005000200,Mid,36005040900,Mid
37,37,4,36005000200,Mid,36005042100,Bot
38,38,4,36005000200,Mid,36005042500,Bot
39,39,4,36005000200,Mid,36005043100,Bot
40,40,8,36005000200,Mid,36005045600,Top
41,41,4,36005000200,Mid,36005045800,Bot
42,42,12,36005000200,Mid,36005046201,Mid
43,43,4,36005000200,Mid,36047001100,Top
44,44,4,36005000200,Mid,36047119600,Bot
45,45,8,36005000200,Mid,36061000700,Top
46,46,14,36005000200,Mid,36061000900,Top
47,47,4,36005000200,Mid,36061001200,Mid
48,48,12,36005000200,Mid,36061001501,Top
49,49,12,36005000200,Mid,36061001502,Top
50,50,4,36005000200,Mid,36061001600,Bot
