,tract_id,mar_19,mar_20,mar_21,20_19,21_20,nor_20_19,nor_21_20
57,36005008900,1187.0,635.0,325,-552.0,-310.0,-0.4650379106992418,-0.4881889763779528
58,36005009000,1440.0,1121.0,490,-319.0,-631.0,-0.22152777777777777,-0.5628902765388046
59,36005009200,1656.0,1368.0,663,-288.0,-705.0,-0.17391304347826086,-0.5153508771929824
60,36005009300,4333.0,1971.0,864,-2362.0,-1107.0,-0.5451188552965612,-0.5616438356164384
61,36005009600,2068.0,1587.0,578,-481.0,-1009.0,-0.23259187620889749,-0.6357908002520479
62,36005009800,2257.0,943.0,509,-1314.0,-434.0,-0.5821887461231724,-0.4602332979851538
63,36005011000,26.0,20.0,48,-6.0,28.0,-0.23076923076923078,1.4
64,36005011502,1781.0,1434.0,610,-347.0,-824.0,-0.1948343627175744,-0.5746164574616457
65,36005011700,1259.0,632.0,381,-627.0,-251.0,-0.4980142970611596,-0.3971518987341772
66,36005011800,1205.0,611.0,532,-594.0,-79.0,-0.49294605809128633,-0.12929623567921442
67,36005011900,2614.0,1387.0,694,-1227.0,-693.0,-0.4693955623565417,-0.4996395097332372
68,36005012101,1785.0,1880.0,831,95.0,-1049.0,0.05322128851540616,-0.5579787234042554
69,36005012102,621.0,832.0,183,211.0,-649.0,0.3397745571658615,-0.7800480769230769
70,36005012300,1462.0,1194.0,563,-268.0,-631.0,-0.18331053351573187,-0.5284757118927973
71,36005012500,1552.0,964.0,443,-588.0,-521.0,-0.3788659793814433,-0.5404564315352697
72,36005012701,2035.0,532.0,212,-1503.0,-320.0,-0.7385749385749386,-0.6015037593984962
73,36005012901,1753.0,1726.0,519,-27.0,-1207.0,-0.01540216771249287,-0.6993047508690614
74,36005013000,221.0,174.0,106,-47.0,-68.0,-0.21266968325791855,-0.39080459770114945
75,36005013100,2564.0,3209.0,1445,645.0,-1764.0,0.2515600624024961,-0.549703957619196
76,36005013200,1858.0,1347.0,760,-511.0,-587.0,-0.27502691065662,-0.4357832219747587
77,36005013300,3209.0,2339.0,974,-870.0,-1365.0,-0.2711124961047055,-0.5835827276613937
78,36005013500,1752.0,1111.0,555,-641.0,-556.0,-0.3658675799086758,-0.5004500450045004
79,36005013800,962.0,1614.0,464,652.0,-1150.0,0.6777546777546778,-0.7125154894671624
80,36005014100,3267.0,2601.0,1275,-666.0,-1326.0,-0.20385674931129477,-0.5098039215686274
81,36005014300,801.0,1030.0,289,229.0,-741.0,0.2858926342072409,-0.7194174757281553
82,36005014400,1392.0,1025.0,937,-367.0,-88.0,-0.2636494252873563,-0.08585365853658537
83,36005014500,10829.0,7679.0,1026,-3150.0,-6653.0,-0.2908855850032321,-0.8663888527151973
84,36005014701,2233.0,1531.0,535,-702.0,-996.0,-0.3143752798925213,-0.6505551926845199
85,36005014702,1688.0,1529.0,463,-159.0,-1066.0,-0.09419431279620853,-0.697187704381949
86,36005014900,2052.0,2198.0,519,146.0,-1679.0,0.07115009746588694,-0.7638762511373977
87,36005015100,2343.0,2891.0,745,548.0,-2146.0,0.23388817755014937,-0.7423037011414736
88,36005015200,668.0,610.0,475,-58.0,-135.0,-0.08682634730538923,-0.22131147540983606
89,36005015300,2428.0,1607.0,617,-821.0,-990.0,-0.33813838550247116,-0.6160547604231488
90,36005015500,768.0,1323.0,370,555.0,-953.0,0.72265625,-0.7203325774754347
91,36005015700,2793.0,1662.0,700,-1131.0,-962.0,-0.40494092373791624,-0.5788206979542719
92,36005015800,1058.0,260.0,101,-798.0,-159.0,-0.7542533081285444,-0.6115384615384616
93,36005015900,854.0,571.0,500,-283.0,-71.0,-0.33138173302107726,-0.1243432574430823
94,36005016000,1146.0,831.0,565,-315.0,-266.0,-0.27486910994764396,-0.3200962695547533
95,36005016100,2457.0,1894.0,949,-563.0,-945.0,-0.22914122914122914,-0.4989440337909187
96,36005016200,549.0,596.0,220,47.0,-376.0,0.08561020036429873,-0.6308724832214765
97,36005016300,207.0,118.0,107,-89.0,-11.0,-0.42995169082125606,-0.09322033898305085
98,36005016400,188.0,164.0,45,-24.0,-119.0,-0.1276595744680851,-0.725609756097561
99,36005016500,714.0,705.0,178,-9.0,-527.0,-0.012605042016806723,-0.7475177304964539
100,36005016600,723.0,463.0,272,-260.0,-191.0,-0.359612724757953,-0.41252699784017277
101,36005016700,1334.0,1119.0,684,-215.0,-435.0,-0.16116941529235382,-0.38873994638069703
102,36005016900,632.0,758.0,145,126.0,-613.0,0.19936708860759494,-0.8087071240105541
103,36005017100,32.0,27.0,60,-5.0,33.0,-0.15625,1.2222222222222223
104,36005017300,2671.0,2095.0,715,-576.0,-1380.0,-0.21564956944964433,-0.6587112171837709
105,36005017500,3368.0,2788.0,1238,-580.0,-1550.0,-0.17220902612826602,-0.5559540889526542
106,36005017701,3616.0,1873.0,374,-1743.0,-1499.0,-0.48202433628318586,-0.800320341697811
107,36005017702,2015.0,2408.0,508,393.0,-1900.0,0.19503722084367245,-0.7890365448504983
108,36005017901,1829.0,2397.0,516,568.0,-1881.0,0.31055221432476765,-0.7847309136420526
109,36005017902,1433.0,1777.0,234,344.0,-1543.0,0.24005582693649685,-0.8683173888576252
110,36005018101,1819.0,1388.0,682,-431.0,-706.0,-0.23694337548103353,-0.5086455331412104
111,36005018102,2648.0,3275.0,757,627.0,-2518.0,0.23678247734138974,-0.768854961832061
112,36005018301,2011.0,815.0,547,-1196.0,-268.0,-0.5947289905519642,-0.32883435582822085
113,36005018302,1809.0,1533.0,333,-276.0,-1200.0,-0.15257048092868988,-0.7827788649706457
114,36005018400,1055.0,915.0,498,-140.0,-417.0,-0.13270142180094788,-0.4557377049180328
115,36005018500,4871.0,4363.0,1059,-508.0,-3304.0,-0.104290700061589,-0.7572771029108412
116,36005018900,4490.0,2928.0,1278,-1562.0,-1650.0,-0.34788418708240537,-0.5635245901639344
117,36005019300,2822.0,2423.0,743,-399.0,-1680.0,-0.14138908575478384,-0.6933553446141147
118,36005019400,891.0,489.0,344,-402.0,-145.0,-0.4511784511784512,-0.2965235173824131
119,36005019500,3761.0,3222.0,1914,-539.0,-1308.0,-0.14331294868386069,-0.4059590316573557
120,36005019700,3464.0,2129.0,814,-1335.0,-1315.0,-0.3853926096997691,-0.6176608736496008
121,36005019900,3906.0,2669.0,1176,-1237.0,-1493.0,-0.31669226830517155,-0.5593855376545522
122,36005020000,1326.0,1023.0,585,-303.0,-438.0,-0.22850678733031674,-0.4281524926686217
123,36005020100,2254.0,1372.0,637,-882.0,-735.0,-0.391304347826087,-0.5357142857142857
124,36005020200,1010.0,602.0,140,-408.0,-462.0,-0.403960396039604,-0.7674418604651163
125,36005020400,942.0,535.0,369,-407.0,-166.0,-0.4320594479830149,-0.3102803738317757
126,36005020501,3257.0,2244.0,1102,-1013.0,-1142.0,-0.31102241326373964,-0.5089126559714795
127,36005020502,1057.0,480.0,227,-577.0,-253.0,-0.5458845789971618,-0.5270833333333333
128,36005020601,900.0,709.0,263,-191.0,-446.0,-0.21222222222222223,-0.6290550070521862
129,36005020900,2766.0,1498.0,671,-1268.0,-827.0,-0.4584237165582068,-0.5520694259012016
130,36005021001,3938.0,3055.0,783,-883.0,-2272.0,-0.22422549517521584,-0.7436988543371522
131,36005021002,2691.0,2623.0,864,-68.0,-1759.0,-0.0252694165737644,-0.6706061761341975
132,36005021100,2754.0,2472.0,763,-282.0,-1709.0,-0.10239651416122005,-0.6913430420711975
133,36005021200,2159.0,1657.0,745,-502.0,-912.0,-0.23251505326540065,-0.5503922751961376
134,36005021301,721.0,364.0,216,-357.0,-148.0,-0.49514563106796117,-0.4065934065934066
135,36005021302,2648.0,3231.0,816,583.0,-2415.0,0.22016616314199397,-0.7474466109563602
136,36005021501,2214.0,994.0,463,-1220.0,-531.0,-0.5510388437217706,-0.53420523138833
137,36005021502,2614.0,2142.0,731,-472.0,-1411.0,-0.180566182096404,-0.6587301587301587
138,36005021601,1662.0,1036.0,470,-626.0,-566.0,-0.3766546329723225,-0.5463320463320464
139,36005021602,2149.0,2107.0,708,-42.0,-1399.0,-0.019543973941368076,-0.6639772187944946
140,36005021700,2244.0,2648.0,759,404.0,-1889.0,0.1800356506238859,-0.7133685800604229
141,36005021800,2575.0,2172.0,885,-403.0,-1287.0,-0.15650485436893205,-0.5925414364640884
142,36005021900,1212.0,493.0,148,-719.0,-345.0,-0.5932343234323433,-0.6997971602434077
143,36005022000,857.0,526.0,291,-331.0,-235.0,-0.3862310385064177,-0.4467680608365019
144,36005022101,1916.0,1182.0,587,-734.0,-595.0,-0.38308977035490605,-0.5033840947546532
145,36005022102,1971.0,1086.0,550,-885.0,-536.0,-0.4490106544901065,-0.49355432780847147
146,36005022200,1459.0,733.0,447,-726.0,-286.0,-0.4976010966415353,-0.39017735334242837
147,36005022300,1956.0,1037.0,478,-919.0,-559.0,-0.46983640081799594,-0.5390549662487946
148,36005022401,1021.0,529.0,240,-492.0,-289.0,-0.48188050930460335,-0.5463137996219282
149,36005022403,1574.0,763.0,454,-811.0,-309.0,-0.5152477763659467,-0.40498034076015726
150,36005022404,1411.0,1047.0,390,-364.0,-657.0,-0.2579730687455705,-0.6275071633237822
151,36005022500,2628.0,2559.0,1121,-69.0,-1438.0,-0.026255707762557076,-0.5619382571316921
152,36005022701,3151.0,2763.0,1115,-388.0,-1648.0,-0.12313551253570296,-0.5964531306550851
153,36005022702,738.0,649.0,182,-89.0,-467.0,-0.12059620596205962,-0.7195685670261941
154,36005022703,737.0,348.0,123,-389.0,-225.0,-0.5278154681139756,-0.646551724137931
155,36005022800,1661.0,1363.0,480,-298.0,-883.0,-0.1794099939795304,-0.6478356566397653
156,36005022901,3074.0,1297.0,595,-1777.0,-702.0,-0.5780741704619389,-0.5412490362374711
157,36005022902,1657.0,990.0,345,-667.0,-645.0,-0.40253470126735064,-0.6515151515151515
158,36005023000,817.0,730.0,376,-87.0,-354.0,-0.10648714810281518,-0.4849315068493151
159,36005023100,490.0,387.0,90,-103.0,-297.0,-0.21020408163265306,-0.7674418604651163
160,36005023200,1842.0,3542.0,706,1700.0,-2836.0,0.9229098805646037,-0.8006775832862789
161,36005023301,2282.0,1093.0,452,-1189.0,-641.0,-0.521034180543383,-0.5864592863677951
162,36005023302,1200.0,916.0,380,-284.0,-536.0,-0.23666666666666666,-0.5851528384279476
163,36005023501,1264.0,972.0,343,-292.0,-629.0,-0.2310126582278481,-0.647119341563786
164,36005023502,1345.0,1004.0,518,-341.0,-486.0,-0.25353159851301116,-0.48406374501992033
165,36005023600,803.0,402.0,142,-401.0,-260.0,-0.49937733499377335,-0.6467661691542289
166,36005023702,423.0,242.0,174,-181.0,-68.0,-0.42789598108747046,-0.2809917355371901
167,36005023703,2389.0,1136.0,414,-1253.0,-722.0,-0.5244872331519465,-0.6355633802816901
168,36005023704,1303.0,870.0,351,-433.0,-519.0,-0.3323100537221796,-0.596551724137931
169,36005023800,2676.0,753.0,209,-1923.0,-544.0,-0.718609865470852,-0.7224435590969456
170,36005023900,3092.0,2098.0,926,-994.0,-1172.0,-0.32147477360931437,-0.5586272640610105
171,36005024000,1831.0,1267.0,913,-564.0,-354.0,-0.3080283997815401,-0.27940015785319655
172,36005024100,2699.0,1883.0,568,-816.0,-1315.0,-0.3023341978510559,-0.6983536909187467
173,36005024300,6090.0,1433.0,635,-4657.0,-798.0,-0.764696223316913,-0.5568736915561758
174,36005024400,668.0,481.0,365,-187.0,-116.0,-0.27994011976047906,-0.24116424116424118
175,36005024501,2412.0,1553.0,721,-859.0,-832.0,-0.3561359867330017,-0.5357372826786864
176,36005024502,1344.0,1180.0,322,-164.0,-858.0,-0.12202380952380952,-0.7271186440677966
177,36005024600,452.0,564.0,314,112.0,-250.0,0.24778761061946902,-0.4432624113475177
178,36005024700,896.0,543.0,317,-353.0,-226.0,-0.3939732142857143,-0.4162062615101289
179,36005024800,928.0,648.0,418,-280.0,-230.0,-0.3017241379310345,-0.3549382716049383
180,36005024900,64.0,30.0,48,-34.0,18.0,-0.53125,0.6
181,36005025000,538.0,384.0,270,-154.0,-114.0,-0.2862453531598513,-0.296875
182,36005025100,2440.0,1598.0,817,-842.0,-781.0,-0.34508196721311474,-0.48873591989987486
183,36005025200,644.0,370.0,223,-274.0,-147.0,-0.4254658385093168,-0.3972972972972973
184,36005025300,2784.0,1556.0,679,-1228.0,-877.0,-0.4410919540229885,-0.5636246786632391
185,36005025400,413.0,445.0,272,32.0,-173.0,0.0774818401937046,-0.3887640449438202
186,36005025500,2971.0,1611.0,722,-1360.0,-889.0,-0.4577583305284416,-0.5518311607697083
187,36005025600,387.0,241.0,85,-146.0,-156.0,-0.3772609819121447,-0.6473029045643154
188,36005025700,937.0,534.0,257,-403.0,-277.0,-0.43009605122732125,-0.5187265917602997
189,36005026100,869.0,589.0,379,-280.0,-210.0,-0.3222094361334868,-0.3565365025466893
190,36005026300,3118.0,1488.0,1003,-1630.0,-485.0,-0.522771007055805,-0.32594086021505375
191,36005026400,1343.0,1073.0,688,-270.0,-385.0,-0.20104244229337304,-0.35880708294501396
192,36005026500,2823.0,2081.0,491,-742.0,-1590.0,-0.2628409493446688,-0.7640557424315233
193,36005026601,979.0,668.0,466,-311.0,-202.0,-0.3176710929519918,-0.3023952095808383
194,36005026602,1604.0,844.0,614,-760.0,-230.0,-0.47381546134663344,-0.2725118483412322
195,36005026701,1606.0,890.0,347,-716.0,-543.0,-0.44582814445828145,-0.6101123595505618
196,36005026702,2561.0,1220.0,793,-1341.0,-427.0,-0.5236235845372901,-0.35
197,36005026900,1772.0,1294.0,511,-478.0,-783.0,-0.2697516930022573,-0.6051004636785162
198,36005027300,2706.0,1617.0,1074,-1089.0,-543.0,-0.4024390243902439,-0.3358070500927644
199,36005027401,1576.0,895.0,735,-681.0,-160.0,-0.43210659898477155,-0.1787709497206704
200,36005027402,788.0,440.0,382,-348.0,-58.0,-0.4416243654822335,-0.1318181818181818
201,36005027600,122.0,87.0,92,-35.0,5.0,-0.28688524590163933,0.05747126436781609
202,36005027700,2208.0,1054.0,473,-1154.0,-581.0,-0.5226449275362319,-0.5512333965844403
203,36005027900,3197.0,1815.0,1114,-1382.0,-701.0,-0.4322802627463247,-0.3862258953168044
204,36005028100,1360.0,865.0,359,-495.0,-506.0,-0.3639705882352941,-0.584971098265896
205,36005028300,1332.0,870.0,468,-462.0,-402.0,-0.34684684684684686,-0.46206896551724136
206,36005028400,925.0,924.0,513,-1.0,-411.0,-0.001081081081081081,-0.4448051948051948
207,36005028500,1382.0,722.0,389,-660.0,-333.0,-0.47756874095513746,-0.46121883656509693
208,36005028600,330.0,135.0,122,-195.0,-13.0,-0.5909090909090909,-0.0962962962962963
209,36005028700,1286.0,1048.0,344,-238.0,-704.0,-0.18506998444790046,-0.6717557251908397
210,36005028800,518.0,462.0,252,-56.0,-210.0,-0.10810810810810811,-0.45454545454545453
211,36005028900,4047.0,3435.0,569,-612.0,-2866.0,-0.15122312824314307,-0.8343522561863174
212,36005029301,682.0,504.0,180,-178.0,-324.0,-0.26099706744868034,-0.6428571428571429
213,36005029302,1942.0,805.0,480,-1137.0,-325.0,-0.5854788877445932,-0.40372670807453415
214,36005029500,1774.0,923.0,330,-851.0,-593.0,-0.47970687711386695,-0.6424702058504875
215,36005029600,638.0,520.0,272,-118.0,-248.0,-0.18495297805642633,-0.47692307692307695
216,36005029700,1701.0,704.0,477,-997.0,-227.0,-0.5861258083480305,-0.3224431818181818
217,36005030000,1841.0,1268.0,858,-573.0,-410.0,-0.31124388919065726,-0.32334384858044163
218,36005030100,374.0,105.0,32,-269.0,-73.0,-0.7192513368983957,-0.6952380952380952
219,36005030200,3541.0,1903.0,1391,-1638.0,-512.0,-0.4625811917537419,-0.26904887020493956
220,36005030701,1398.0,1031.0,667,-367.0,-364.0,-0.2625178826895565,-0.3530552861299709
221,36005030900,1048.0,563.0,341,-485.0,-222.0,-0.4627862595419847,-0.39431616341030196
222,36005031000,928.0,553.0,396,-375.0,-157.0,-0.4040948275862069,-0.28390596745027125
223,36005031200,303.0,326.0,184,23.0,-142.0,0.07590759075907591,-0.43558282208588955
224,36005031400,387.0,206.0,163,-181.0,-43.0,-0.46770025839793283,-0.2087378640776699
225,36005031600,444.0,475.0,279,31.0,-196.0,0.06981981981981981,-0.4126315789473684
226,36005031800,360.0,675.0,194,315.0,-481.0,0.875,-0.7125925925925926
227,36005031900,40.0,40.0,24,0.0,-16.0,0.0,-0.4
228,36005032300,1398.0,581.0,333,-817.0,-248.0,-0.5844062947067239,-0.4268502581755594
229,36005032400,1038.0,525.0,312,-513.0,-213.0,-0.49421965317919075,-0.4057142857142857
230,36005032600,1284.0,827.0,631,-457.0,-196.0,-0.3559190031152648,-0.2370012091898428
231,36005032800,1154.0,1019.0,662,-135.0,-357.0,-0.1169844020797227,-0.35034347399411186
232,36005033000,1757.0,1539.0,612,-218.0,-927.0,-0.12407512805919181,-0.6023391812865497
233,36005033201,1165.0,868.0,547,-297.0,-321.0,-0.2549356223175966,-0.36981566820276496
234,36005033202,1471.0,810.0,435,-661.0,-375.0,-0.4493541808293678,-0.46296296296296297
235,36005033400,7174.0,2388.0,1332,-4786.0,-1056.0,-0.667131307499303,-0.44221105527638194
236,36005033500,661.0,295.0,217,-366.0,-78.0,-0.5537065052950075,-0.26440677966101694
237,36005033600,2733.0,1564.0,679,-1169.0,-885.0,-0.42773508964507867,-0.5658567774936062
238,36005033700,847.0,825.0,618,-22.0,-207.0,-0.025974025974025976,-0.2509090909090909
239,36005033800,1368.0,1082.0,659,-286.0,-423.0,-0.20906432748538012,-0.3909426987060998
240,36005034000,1470.0,833.0,390,-637.0,-443.0,-0.43333333333333335,-0.531812725090036
241,36005034200,660.0,667.0,213,7.0,-454.0,0.010606060606060607,-0.6806596701649176
242,36005034300,586.0,247.0,118,-339.0,-129.0,-0.5784982935153583,-0.5222672064777328
243,36005034400,572.0,337.0,101,-235.0,-236.0,-0.41083916083916083,-0.7002967359050445
244,36005034500,1242.0,637.0,290,-605.0,-347.0,-0.48711755233494364,-0.5447409733124019
245,36005034800,3347.0,3562.0,1025,215.0,-2537.0,0.06423662981774723,-0.7122403144300955
