,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21
47,0.9331376386170906,2861,0.06686236138290932,205,36005012701,1.0,193,0.0,0,1.0,62,0.0,0
48,1.0,262,0.0,0,36005012901,1.0,227,0.0,0,1.0,104,0.0,0
49,0.9891156462585035,727,0.010884353741496598,8,36005013100,0.9930795847750865,574,0.006920415224913495,4,0.9823788546255506,223,0.01762114537444934,4
50,1.0,68,0.0,0,36005013200,1.0,84,0.0,0,1.0,72,0.0,0
51,1.0,431,0.0,0,36005013500,0.9910514541387024,443,0.008948545861297539,4,1.0,184,0.0,0
52,0.9492273730684326,430,0.05077262693156733,23,36005013800,0.9405080213903744,1407,0.05949197860962567,89,0.978494623655914,182,0.021505376344086023,4
53,0.9918781725888325,977,0.008121827411167513,8,36005014100,1.0,979,0.0,0,1.0,601,0.0,0
54,0.9218049490538573,15832,0.07819505094614265,1343,36005014500,0.9421833396728794,14862,0.05781666032712058,912,0.9525671754762205,7551,0.04743282452377949,376
55,0.9885057471264368,344,0.011494252873563218,4,36005014701,1.0,226,0.0,0,1.0,59,0.0,0
56,1.0,684,0.0,0,36005014702,1.0,596,0.0,0,1.0,282,0.0,0
57,1.0,315,0.0,0,36005014900,1.0,234,0.0,0,1.0,88,0.0,0
58,1.0,139,0.0,0,36005015200,1.0,119,0.0,0,1.0,94,0.0,0
59,1.0,168,0.0,0,36005015300,1.0,120,0.0,0,1.0,70,0.0,0
60,1.0,408,0.0,0,36005015700,1.0,334,0.0,0,1.0,266,0.0,0
61,1.0,4,0.0,0,36005015900,1.0,8,0.0,0,1.0,8,0.0,0
62,0.9977502812148481,1774,0.0022497187851518562,4,36005016100,1.0,1333,0.0,0,0.9945945945945946,736,0.005405405405405406,4
63,0.9785867237687366,1371,0.021413276231263382,30,36005016300,0.9810181190681622,1137,0.01898188093183779,22,0.9720853858784894,592,0.027914614121510674,17
64,1.0,565,0.0,0,36005016500,1.0,445,0.0,0,0.9837133550488599,302,0.016286644951140065,5
65,1.0,166,0.0,0,36005016600,1.0,98,0.0,0,1.0,96,0.0,0
66,1.0,74,0.0,0,36005016700,1.0,65,0.0,0,0.8571428571428571,24,0.14285714285714285,4
67,0.9901477832512315,402,0.009852216748768473,4,36005016900,1.0,274,0.0,0,1.0,161,0.0,0
68,0.9876923076923076,321,0.012307692307692308,4,36005017100,0.9776357827476039,306,0.022364217252396165,7,0.9726027397260274,142,0.0273972602739726,4
69,0.9752066115702479,472,0.024793388429752067,12,36005017300,0.9671532846715328,530,0.032846715328467155,18,0.9607843137254902,196,0.0392156862745098,8
70,0.8964803312629399,433,0.10351966873706005,50,36005017500,0.8820375335120644,329,0.11796246648793565,44,0.8050314465408805,128,0.1949685534591195,31
71,0.9774011299435028,173,0.022598870056497175,4,36005017702,1.0,185,0.0,0,1.0,56,0.0,0
72,0.9853658536585366,606,0.014634146341463415,9,36005017902,0.990632318501171,423,0.00936768149882904,4,1.0,188,0.0,0
73,0.9606060606060606,634,0.03939393939393939,26,36005018102,0.9742813918305597,644,0.025718608169440244,17,0.9130434782608695,84,0.08695652173913043,8
74,1.0,467,0.0,0,36005018400,1.0,602,0.0,0,0.9899244332493703,393,0.010075566750629723,4
75,0.9966583124477861,1193,0.003341687552213868,4,36005018500,0.9965004374453194,1139,0.003499562554680665,4,1.0,544,0.0,0
76,0.9883381924198251,339,0.011661807580174927,4,36005018900,0.9892761394101877,369,0.010723860589812333,4,1.0,183,0.0,0
77,0.9907621247113164,429,0.009237875288683603,4,36005019300,1.0,321,0.0,0,1.0,119,0.0,0
78,0.977979274611399,755,0.022020725388601035,17,36005019500,0.9865546218487395,587,0.013445378151260505,8,0.9781420765027322,358,0.02185792349726776,8
79,1.0,521,0.0,0,36005019700,0.9913978494623656,461,0.008602150537634409,4,1.0,256,0.0,0
80,1.0,106,0.0,0,36005019900,1.0,101,0.0,0,1.0,24,0.0,0
81,1.0,614,0.0,0,36005020000,1.0,511,0.0,0,1.0,284,0.0,0
82,0.9830176355323318,1505,0.016982364467668192,26,36005020100,1.0,1130,0.0,0,0.9881305637982196,666,0.011869436201780416,8
83,1.0,188,0.0,0,36005020200,1.0,272,0.0,0,0.9512195121951219,78,0.04878048780487805,4
84,1.0,34,0.0,0,36005020400,1.0,47,0.0,0,0.8620689655172413,25,0.13793103448275862,4
85,0.9760479041916168,815,0.023952095808383235,20,36005020501,0.9788359788359788,555,0.021164021164021163,12,1.0,369,0.0,0
86,0.9173228346456693,233,0.08267716535433071,21,36005020502,0.9556650246305419,194,0.04433497536945813,9,0.9574468085106383,90,0.0425531914893617,4
87,0.9827213822894169,455,0.017278617710583154,8,36005020900,1.0,249,0.0,0,1.0,141,0.0,0
88,0.9600484261501211,793,0.039951573849878935,33,36005021001,0.9818049490538574,1349,0.018195050946142648,25,0.986013986013986,282,0.013986013986013986,4
89,1.0,153,0.0,0,36005021002,1.0,168,0.0,0,1.0,50,0.0,0
90,1.0,129,0.0,0,36005021100,1.0,72,0.0,0,1.0,49,0.0,0
91,1.0,391,0.0,0,36005021302,0.9859154929577465,280,0.014084507042253521,4,1.0,245,0.0,0
92,0.990791896869245,538,0.009208103130755065,5,36005021501,1.0,580,0.0,0,1.0,246,0.0,0
93,1.0,38,0.0,0,36005021502,1.0,30,0.0,0,1.0,8,0.0,0
94,1.0,177,0.0,0,36005021601,0.984375,252,0.015625,4,1.0,111,0.0,0
95,0.9923954372623575,1044,0.0076045627376425855,8,36005021602,0.9956803455723542,922,0.004319654427645789,4,1.0,351,0.0,0
