tract_id,raw_visit_counts
36005000200,493
36005000400,2008
36005001600,81
36005001900,766
36005002300,700
36005002400,2986
36005002500,32
36005002701,1472
36005003900,63442
36005004001,399
36005004100,507
36005004200,1423
36005004300,642
36005004400,527
36005004600,327
36005005002,6
36005005100,1849
36005005200,502
36005005600,361
36005005902,164
36005006100,22
36005006200,820
36005006300,6902
36005006500,2754
36005006700,751
36005006800,1199
36005006900,463
36005007100,19
36005007200,1248
36005007300,9034
36005007500,606
36005007600,97
36005007700,376
36005007800,15
36005007900,1635
36005008300,379
36005008700,1704
36005009000,1951
36005009200,634
36005009300,1477
36005009600,309
36005011000,1778
36005011502,1040
36005011700,6863
36005011800,397
36005011900,1990
36005012300,485
36005012500,12
36005012701,200
36005012901,286
36005013100,979
36005013200,184
36005013500,786
36005013800,637
36005014100,1800
36005014500,88694
36005014701,307
36005014702,984
36005014900,350
36005015200,307
36005015300,156
36005015700,898
36005015900,9
36005016100,1758
36005016300,1892
36005016500,1125
36005016600,291
36005016700,82
36005016900,521
36005017100,511
36005017300,661
36005017500,530
36005017702,132
36005017902,679
36005018102,184
36005018301,4
36005018400,1000
36005018500,1850
36005018900,385
36005019300,493
36005019500,1094
36005019700,529
36005019900,68
36005020000,617
36005020100,2125
36005020200,358
36005020400,91
36005020501,1213
36005020502,365
36005020601,3
36005020900,366
36005021001,1134
36005021002,117
36005021100,140
36005021302,602
36005021501,630
36005021502,75
36005021601,310
36005021602,803
36005021800,659
36005021900,955
36005022000,354
36005022200,885
36005022403,2957
36005022500,546
36005022701,458
36005022702,525
36005022901,538
36005022902,964
36005023100,263
36005023200,2308
36005023301,13
36005023600,713
36005023900,226
36005024100,628
36005024300,280
36005024501,367
36005024700,22954
36005024800,306
36005024900,82
36005025100,2125
36005025600,253
36005026400,24
36005026500,42
36005026602,363
36005026900,528
36005027300,346
36005027401,87
36005027402,246
36005027600,5186
36005027700,149
36005027900,326
36005028100,139
36005028300,1470
36005028400,2808
36005028500,250
36005028800,139
36005028900,760
36005029301,441
36005029302,736
36005029500,358
36005029700,179
36005030000,669
36005030200,1361
36005030701,251
36005030900,355
36005031000,591
36005032600,2506
36005033000,370
36005033400,21485
36005033500,640
36005033600,1024
36005033700,1607
36005034000,19
36005034300,62
36005034800,15980
36005035600,1997
36005035800,272
36005036100,95
36005036300,74620
36005036502,662
36005036700,83
36005036901,284
36005036902,411
36005037100,4931
36005037300,546
36005037400,272
36005037504,729
36005037800,1426
36005037900,669
36005038100,14339
36005038301,165
36005038302,2432
36005038500,765
36005038600,255
36005038700,1473
36005038900,251
36005039000,8
36005039100,405
36005039500,309
36005039700,20457
36005039800,61
36005039901,406
36005040502,284
36005040600,104
36005040701,88
36005040702,69
36005040900,2104
