,visitor_home_cbgs
20108,"{""360810062027"":6,""360850170083"":6,""360050062003"":5,""360595183003"":4,""360050179011"":4,""360595201001"":4,""360610237003"":4,""360850170101"":4,""360850151004"":4,""360810929002"":4,""340390364001"":4,""360850244022"":4,""361190148051"":4,""360610162003"":4,""360870130021"":4,""360594105005"":4,""360594051001"":4,""360594162024"":4,""360594055002"":4,""361031347021"":4,""361031594045"":4,""360870109013"":4,""360810119001"":4,""361031594073"":4,""360050224042"":4,""360710119002"":4,""361190001041"":4,""360594134004"":4,""361031469012"":4,""360850170111"":4,""360595205011"":4,""360710141011"":4,""360610099001"":4}"
27748,"{""360050462021"":22,""361190055004"":11,""360050516002"":10,""361190027001"":9,""361190097013"":8,""360050504001"":7,""360050250001"":7,""360050516001"":7,""360050462013"":7,""360050302004"":7,""360050152002"":6,""360050138001"":6,""090091547006"":6,""360050350002"":5,""360790119001"":5,""360050274012"":5,""360470285021"":5,""360050184004"":5,""360850146082"":5,""360050230002"":5,""361190084032"":5,""361190053001"":5,""361190137001"":5,""360050194001"":5,""250235117015"":5,""360050089002"":5,""360710109012"":4,""360610118001"":4,""360594143033"":4,""361190052001"":4,""360050224043"":4,""360470007003"":4,""360050184002"":4,""360050118001"":4,""361190059023"":4,""360710142025"":4,""360610236001"":4,""360810470002"":4,""361190010001"":4,""361190011022"":4,""361190054001"":4,""360050098001"":4,""090010733001"":4,""361190091002"":4,""360850170101"":4,""360850096021"":4,""361031581141"":4,""360050132004"":4,""360610142004"":4,""360050345002"":4,""361190064002"":4,""340311753011"":4,""340110304003"":4,""360050274023"":4,""361190057013"":4,""360850189012"":4,""360050193001"":4,""250214012001"":4,""360910624034"":4,""361190034004"":4,""340390398004"":4,""360050274021"":4,""360594105005"":4,""340170064002"":4,""090091805001"":4,""360050431007"":4,""360810246001"":4,""360790103004"":4,""361190053003"":4,""360470796012"":4,""361190059021"":4,""361190058003"":4,""360050293021"":4,""360810062027"":4,""361031244013"":4,""360050462017"":4,""360850303023"":4,""361190085003"":4,""360050200004"":4,""360050312002"":4,""360050401002"":4,""361190041003"":4,""361190064004"":4,""360050218002"":4,""360810703002"":4,""090010351001"":4,""361190067003"":4,""360610099001"":4,""360470043001"":4,""361190042001"":4,""361190015033"":4,""361190034002"":4,""361190026002"":4,""360050160002"":4,""361190060002"":4,""360050302006"":4,""360811008011"":4,""360811059003"":4,""360810045003"":4,""360050415002"":4,""360050218004"":4,""360050159001"":4,""360050265002"":4,""360594097002"":4,""360050004003"":4,""360050425007"":4,""360050246001"":4,""360050229012"":4,""250277304013"":4,""360710011004"":4,""360050330004"":4,""360050456003"":4,""361190092004"":4,""360594157003"":4,""360594078011"":4,""360050193002"":4,""360790119003"":4,""361190059012"":4,""360050379005"":4,""090010721001"":4,""360470508041"":4,""360810846021"":4,""360050028004"":4,""090010102012"":4,""360050096002"":4,""360610237003"":4,""360050426002"":4,""090010103002"":4,""361190057021"":4,""360610196002"":4,""360050394003"":4,""360050300002"":4,""361190089011"":4,""360810271002"":4,""361031239004"":4,""090035141021"":4,""360610114022"":4,""360050370002"":4,""360050276001"":4,""360610016001"":4,""360610158013"":4,""360470205003"":4,""361031587111"":4,""361190076001"":4,""361190065001"":4,""360050360002"":4,""360050075002"":4,""360471168001"":4,""360610039002"":4,""250277442002"":4,""361190038001"":4,""360870107022"":4,""360050462019"":4,""360050266013"":4,""360594055002"":4,""360050274013"":4,""360050135001"":4,""361190062003"":4,""360610283002"":4,""360710141011"":4,""360610162003"":4,""361031907072"":4,""360610173002"":4,""361190027002"":4,""121030244063"":4,""360610198001"":4,""090035114001"":4,""360610218003"":4,""420293069002"":4,""361031584101"":4,""360050118002"":4,""360050421005"":4,""090052532002"":4,""360050264003"":4,""360810661001"":4,""360610157002"":4,""361190045001"":4,""360810400002"":4,""360710146006"":4,""361190062004"":4,""360050300001"":4,""361190055002"":4,""360050516004"":4,""360050132001"":4,""360050145001"":4,""360594084001"":4,""360050435001"":4,""360050326002"":4,""090010427002"":4,""361031581122"":4,""120110903021"":4,""360050389004"":4,""360594093004"":4,""090012053003"":4,""361190057012"":4,""360050407024"":4,""360810267001"":4,""360050255002"":4,""340030130023"":4,""361190061001"":4,""360810853001"":4,""230190080013"":4,""500279658002"":4,""360470160002"":4,""360811227015"":4,""360050429012"":4,""360810638003"":4,""360050451011"":4,""360050078002"":4,""360850156016"":4,""360050093001"":4,""330019656002"":4,""360050462025"":4,""361190118004"":4,""360810411002"":4,""361190050022"":4,""361031349063"":4,""360050398002"":4,""360710106002"":4,""361190066001"":4,""360050096001"":4,""360050462014"":4,""360050310002"":4,""360050326001"":4,""360050293010"":4,""360050127011"":4,""090035049001"":4,""360050274020"":4,""361190057014"":4,""360050070001"":4,""360050085003"":4,""360050144005"":4,""360810220012"":4,""360050067004"":4,""360610014011"":4,""360050300004"":4,""360050162002"":4,""360050386006"":4,""360050405013"":4,""360870134011"":4,""361190055003"":4,""361190054002"":4,""361190115002"":4,""360810038002"":4,""361190039003"":4,""360050307011"":4,""360050212002"":4,""361190135001"":4,""360050160001"":4,""360811571011"":4,""090091655003"":4,""360050132003"":4,""361190037001"":4,""360050379001"":4,""361190040004"":4,""484910205081"":4,""360594140013"":4}"
