,tract_id,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts,raw_visit_counts
time,,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_19,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_20,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21,mar_21
category,,Accomodation,Education,Financial Activities,Food,Goods Production,Health Care,Other,Professional and Business Services,Real Estate,Recreation,Transportation,Wholesale and Retail,Accomodation,Education,Financial Activities,Food,Goods Production,Health Care,Other,Professional and Business Services,Real Estate,Recreation,Transportation,Wholesale and Retail,Accomodation,Education,Financial Activities,Food,Goods Production,Health Care,Other,Professional and Business Services,Real Estate,Recreation,Transportation,Wholesale and Retail
16,36005005100,0.0,1.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,4357.0,0.0,3105.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,2174.0,0.0,1254.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,1629.0,0.0,155.0
17,36005005200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0
18,36005005600,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,262.0,0.0,0.0
19,36005005902,0.0,0.0,0.0,3505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,36005006100,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,36005006200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0
22,36005006300,0.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0,0.0,11554.0,0.0,3947.0,0.0,0.0,0.0,790.0,0.0,0.0,0.0,0.0,0.0,3801.0,0.0,4242.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,2790.0,0.0,4001.0
23,36005006500,0.0,0.0,0.0,0.0,0.0,3482.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2750.0,0.0,0.0,0.0,0.0,0.0,4.0
24,36005006700,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,0.0
25,36005006800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0,0.0,0.0
26,36005006900,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,851.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,0.0,0.0,0.0,0.0,421.0
27,36005007100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
28,36005007200,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,2322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1224.0,0.0,0.0
29,36005007300,0.0,0.0,0.0,9121.0,0.0,0.0,0.0,0.0,0.0,1765.0,0.0,0.0,0.0,0.0,0.0,1396.0,0.0,0.0,0.0,0.0,0.0,5090.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,8647.0,0.0,0.0
30,36005007500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,0.0,0.0
31,36005007600,0.0,0.0,0.0,266.0,0.0,0.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,36.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0
32,36005007700,0.0,0.0,0.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,36005007800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
