,MedRent,tract_id,pctWhite,pctBlack,pctIndian,pctAsian,pctVacant,pctBachelors,pctPoverty,high_low_perct_20_19,high_low_perct_21_20
1136,1377,36047099800,0.0744147157190635,0.8809921962095875,0.0,0.0,0.1390041493775933,0.0183946488294314,0.0409698996655518,0.7372262773722628,-0.18193069306930693
1137,1584,36047102800,0.0383693045563549,0.9262589928057554,0.0,0.0203836930455635,0.0383211678832116,0.0149880095923261,0.0311750599520383,0.048644630652199095,-1.3441607831557094
1138,1628,36047038300,0.1329073482428115,0.7167199148029819,0.0036208732694355,0.098615548455804,0.116171954964176,0.0255591054313099,0.2391906283280085,-0.05405405405405406,-0.6190476190476191
1139,1463,36047038500,0.1741331308529486,0.7053910402429765,0.0060744115413819,0.0554290053151101,0.1894117647058823,0.0394836750189825,0.0769425461908377,0.03409090909090909,-0.5934065934065934
1140,2142,36047070600,0.8527255339496335,0.0927637870576984,0.0,0.0478163850812878,0.0955109837631327,0.0082881734140898,0.0315588141536499,0.9862204724409449,0.07584830339321358
1141,1449,36047080000,0.2658124318429662,0.601145038167939,0.0,0.0245365321701199,0.1162349968414403,0.0174482006543075,0.1136859323882224,-0.4117647058823529,-0.35
1142,1918,36061019100,0.7425326041228439,0.1167437946992006,0.0,0.1025452250736222,0.0787564766839378,0.0384938998737904,0.1420908708456037,0.21924882629107983,-0.8036577458146663
1143,3023,36061019701,0.4420880913539967,0.2283849918433931,0.0,0.3017944535073409,0.2967244701348747,0.0473083197389885,0.231647634584013,0.6967403958090803,-inf
1144,979,36061020600,0.2349795533186536,0.6451714375589808,0.0,0.025794274929223,0.140495867768595,0.0185592953759043,0.3180245360176156,0.39089347079037795,-0.1704230921312772
1145,1164,36061021800,0.2510088781275222,0.6179176755447942,0.0,0.0216303470540758,0.0889803673210893,0.017594834543987,0.2689265536723164,0.330471480854033,0.14784907514891676
1146,-666666666,36081010701,,,,,,,,0.7172774869109948,-inf
1147,1775,36081012301,0.7936736161035226,0.0388209920920201,0.0,0.0729690869877785,0.1842485549132948,0.018332135154565,0.0700934579439252,0.13855421686746988,-0.27645502645502645
1148,1566,36081025301,0.6324669402644779,0.0091199270405836,0.0029639762881896,0.2514819881440948,0.1189920671955203,0.0136798905608755,0.0930232558139534,0.7232704402515724,-0.3130434782608696
1149,1473,36081025302,0.7147078135259356,0.0042678923177938,0.0219960604070912,0.1822061720288903,0.0717069368667186,0.0223243598161523,0.1181877872619829,-0.45161290322580644,-0.3941176470588235
1150,929,36081025400,0.0465691121218113,0.5711884516511766,0.0,0.111924065651572,0.0622419815814544,0.0076132094126952,0.1744117065453826,-0.08707865168539326,-0.47384615384615386
1151,1559,36081026901,0.2114803625377643,0.0068479355488418,0.0094662638469285,0.3365558912386707,0.0694205393000573,0.0,0.0944612286002014,0.16597510373443983,-0.7046263345195729
