,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21,income_high_20_19,income_high_21_20,income_low_20_19,income_low_21_20,income_high_low_19,income_high_low_20,income_high_low_21,high_low_perct_20_19,high_low_perct_21_20
26,0.79704797,216,0.20295203,55,36005006900,0.778801843,169,0.221198157,48,0.824175824,75,0.175824176,16,-0.217592593,-0.556213018,-0.145833333,-0.666666667,161,121,59,-0.071759259,0.110453649
27,1,21,0,0,36005007100,0.25,4,0.75,12,1,8,0,0,-0.80952381,1,1,-1,21,-8,8,-1.80952381,2
28,0.73799435,1045,0.26200565,371,36005007200,0.712837838,844,0.287162162,340,0.695798319,414,0.304201681,181,-0.192344498,-0.509478673,-0.091176471,-0.467647059,674,504,233,-0.101168027,-0.041831614
29,0.43762279,1782,0.56237721,2290,36005007300,0.551683402,934,0.448316598,759,0.573694985,1121,0.426305015,833,-0.475869809,0.200214133,-2.0171278,0.097496706,-508,175,288,1.541257991,0.102717427
30,0.762402089,292,0.237597911,91,36005007500,0.723636364,199,0.276363636,76,0.595238095,125,0.404761905,85,-0.318493151,-0.371859296,-0.197368421,0.118421053,201,123,40,-0.12112473,-0.490280349
31,0.615789474,117,0.384210526,73,36005007600,0.62745098,96,0.37254902,57,0.333333333,17,0.666666667,34,-0.179487179,-0.822916667,-0.280701754,-0.403508772,44,39,-17,0.101214575,-0.419407895
32,0.688125894,481,0.311874106,218,36005007700,0.721402214,391,0.278597786,151,0.65258216,139,0.34741784,74,-0.187110187,-0.644501279,-0.443708609,-0.509933775,263,240,65,0.256598422,-0.134567504
33,0.75,12,0.25,4,36005007800,0.5,12,0.5,12,0,0,1,4,0,-1,0.666666667,-0.666666667,8,0,-4,-0.666666667,-0.333333333
34,0.733153639,816,0.266846361,297,36005007900,0.742655699,632,0.257344301,219,0.72611465,342,0.27388535,129,-0.225490196,-0.458860759,-0.356164384,-0.410958904,519,413,213,0.130674187,-0.047901855
35,0.732026144,112,0.267973856,41,36005008300,0.875968992,113,0.124031008,16,0.865168539,77,0.134831461,12,0.008928571,-0.318584071,-1.5625,-0.25,71,97,65,1.571428571,-0.068584071
