,raw_visit_counts,raw_visit_counts,raw_visit_counts
time,mar_19,mar_20,mar_21
tract_id,,,
36005038000,1.0,0.0,0.0
36005038100,10911.0,20470.0,14339.0
36005038301,686.0,278.0,165.0
36005038302,2880.0,4122.0,2432.0
36005038500,1178.0,977.0,765.0
36005038600,658.0,476.0,255.0
36005038700,5284.0,3791.0,1473.0
36005038900,389.0,255.0,251.0
36005039000,19.0,9.0,8.0
36005039100,827.0,553.0,405.0
36005039500,1290.0,807.0,309.0
36005039700,40557.0,18669.0,20457.0
36005039800,208.0,158.0,61.0
36005039901,1007.0,656.0,406.0
36005039902,481.0,273.0,0.0
36005040502,309.0,468.0,284.0
36005040600,251.0,173.0,104.0
36005040701,70.0,119.0,88.0
36005040702,141.0,191.0,69.0
36005040900,12208.0,6140.0,2104.0
36005041100,2518.0,1363.0,843.0
36005041300,53.0,28.0,20.0
36005041400,642.0,405.0,249.0
36005041500,1121.0,862.0,438.0
36005041800,58.0,22.0,43.0
36005041900,218.0,115.0,150.0
36005042000,1010.0,815.0,337.0
36005042100,2166.0,1876.0,1536.0
36005042400,385.0,315.0,175.0
36005042500,5729.0,4179.0,2313.0
36005043100,958.0,402.0,400.0
36005043500,590.0,476.0,526.0
36005043600,123.0,154.0,32.0
36005045600,875.0,490.0,423.0
36005045800,2521.0,1651.0,1044.0
36005046000,575.0,550.0,410.0
36005046201,23884.0,5623.0,3509.0
36005046202,798.0,391.0,364.0
36005048400,3899.0,6400.0,3233.0
36005050400,3081.0,2389.0,2827.0
36005051600,505.0,487.0,466.0
36031960498,87.0,28.0,30.0
36047000100,1220.0,694.0,641.0
36047000200,51.0,25.0,18.0
36047000301,926.0,571.0,489.0
36047000501,723.0,527.0,368.0
36047000502,3.0,24.0,12.0
36047000700,3794.0,2431.0,1852.0
36047000900,2851.0,1432.0,684.0
36047001100,8576.0,4683.0,1707.0
36047001300,16281.0,9804.0,5067.0
36047001500,7131.0,3137.0,1636.0
36047001800,3229.0,3351.0,3220.0
36047002100,9090.0,5104.0,3335.0
36047002200,769.0,648.0,480.0
36047002300,2809.0,1869.0,1343.0
36047003100,2795.0,1946.0,1228.0
36047003300,2492.0,1201.0,587.0
