tract_id,mar_19,mar_20,mar_21
36047015200,0,0,0
36047015300,0,0,0
36047015400,0,0,0
36047015500,0,0,0
36047015900,191,51,72
36047016000,0,0,0
36047016200,17,7,5
36047016300,0,0,4
36047016400,67,66,141
36047016700,0,0,0
36047016900,0,0,0
36047017000,0,0,0
36047017400,0,0,0
36047017700,0,0,0
36047017900,0,0,0
36047019100,0,0,0
36047019300,0,0,0
36047019500,0,0,0
36047019700,0,0,0
36047020000,0,0,0
36047020700,16,16,15
36047021000,0,0,0
36047021100,64,29,31
36047021300,0,0,0
36047021400,0,0,0
36047021500,0,0,0
36047021700,0,0,0
36047021900,0,0,0
36047022000,144,96,75
36047022100,0,0,0
36047022200,1,1,0
36047022600,4,7,4
36047022700,268,218,130
36047023200,0,0,0
36047023300,110,224,163
36047023400,0,0,0
36047023600,431,300,235
36047024100,0,0,0
36047024200,130,145,106
36047024300,0,0,0
36047024400,0,0,0
36047024500,0,0,0
36047024700,0,0,0
36047024800,187,198,210
36047024900,911,488,66
36047025000,110,132,40
36047025300,0,0,0
36047025400,0,0,0
36047025600,0,0,0
36047025700,0,0,0
36047025901,0,0,0
36047026000,314,291,188
36047026100,0,0,0
36047026200,0,0,0
36047026300,0,0,0
36047026700,0,0,0
36047027100,0,0,0
36047027300,0,0,0
36047027500,0,0,0
36047027600,0,0,0
36047027800,1087,919,702
36047027900,0,0,0
36047028100,135,180,106
36047028300,1105,856,357
36047028700,0,0,0
36047028800,0,0,0
36047028900,0,0,0
36047029300,412,193,142
36047029600,0,0,0
36047029700,0,0,0
36047029800,0,0,0
36047030000,0,0,0
36047030100,0,0,0
36047030200,0,0,0
36047030300,0,0,0
36047030400,0,0,0
36047030500,2,2,2
36047030600,0,0,0
36047030700,0,0,0
36047030800,0,0,0
36047031400,0,0,0
36047031500,0,0,0
36047031701,0,0,0
36047031702,0,0,0
36047031900,0,0,0
36047032100,0,0,0
36047032600,801,823,385
36047032800,515,523,338
36047032900,0,0,0
36047033600,0,0,0
36047033900,427,258,238
36047034000,0,0,0
36047034200,0,0,0
36047034300,0,0,0
36047034500,0,0,0
36047034900,4,4,1
36047035100,58,0,0
36047035200,72,96,85
36047035300,0,0,0
36047035400,0,0,0
36047035700,0,0,0
36047036001,0,0,0
36047036100,0,0,0
36047036200,6,7,11
36047036300,595,278,197
36047036400,0,0,0
36047036501,0,0,0
36047036700,0,0,0
36047036900,1243,722,454
36047037000,0,0,0
36047037100,0,0,0
36047037402,41,23,16
36047037500,23,22,25
36047037700,0,0,0
36047038100,0,0,0
36047038200,0,0,0
36047038300,0,0,0
36047038500,0,0,0
36047038600,447,453,327
36047038700,0,0,0
36047038800,1990,1080,1065
36047038900,13,7,11
36047039300,494,187,211
36047039500,0,0,0
36047039700,0,0,0
36047039800,0,0,0
36047040100,144,113,61
36047040200,0,0,0
36047040300,0,0,0
36047040500,0,0,0
36047040800,0,0,0
36047041000,0,0,0
36047041200,0,0,0
36047041401,0,0,0
36047041402,0,0,0
36047041500,0,0,0
36047041700,0,0,0
36047041800,0,0,0
36047042300,0,0,0
36047042800,0,0,0
36047042900,59,27,20
36047043000,0,0,0
36047043200,165,101,59
36047043300,0,0,0
36047043500,0,0,0
36047043700,0,0,0
36047043800,0,0,0
36047044000,0,0,0
36047044100,398,263,154
36047044200,0,0,0
36047044300,420,297,156
36047044400,0,0,0
36047044500,216,122,127
36047044700,0,0,0
36047044800,0,0,0
36047044900,132,87,71
36047045300,0,0,0
36047045600,0,0,0
36047046000,0,0,0
36047046202,0,0,0
36047046800,0,0,0
36047047600,0,0,0
36047048400,0,0,0
36047048500,2,29,35
36047049000,0,0,0
36047049100,1,0,3
36047049200,0,0,0
36047049400,18,86,35
36047049500,0,0,0
36047049900,0,0,0
36047050000,0,0,0
36047050100,0,0,0
36047050202,0,0,0
36047050300,0,0,0
36047050600,818,508,337
36047050803,2,1,0
36047051001,0,0,0
36047051002,490,311,169
36047051100,0,0,0
36047051200,0,0,0
36047051300,0,0,0
36047051400,0,0,0
36047051500,0,0,0
36047051700,0,0,0
36047051900,0,0,0
36047052000,7,4,0
36047052300,3,0,0
36047052500,53,25,15
36047052700,0,0,0
36047052900,277,0,0
36047053100,0,0,0
36047053400,0,0,0
36047053500,0,0,0
36047053700,0,0,0
36047053800,0,0,0
36047053900,0,0,0
36047054200,0,0,0
36047054300,836,656,664
36047054600,154,114,48
36047054700,0,0,0
36047054900,0,0,0
36047055100,297,106,131
36047055300,0,0,0
36047055400,1343,732,1308
36047055500,25,2,3
36047055600,0,0,0
36047055700,0,0,0
36047056100,0,0,0
36047056200,0,0,0
36047056300,0,0,0
36047056400,335,240,264
36047056500,0,0,0
36047056900,16,24,19
36047057000,0,0,0
36047057100,0,0,0
36047057300,0,0,0
36047057400,443,498,497
36047057800,0,0,0
36047057900,29,1,0
36047058000,387,215,135
36047058200,0,0,0
36047058800,0,0,0
36047058900,0,0,0
36047059000,0,0,0
36047059100,3,1,2
36047059200,0,0,0
36047059300,0,0,0
36047059401,0,0,0
36047060000,0,0,0
36047060600,93,60,48
36047060800,2344,1457,1670
36047061002,0,0,0
36047061004,0,0,0
36047061200,0,0,0
36047061600,0,0,0
36047062600,44,32,17
36047063200,0,0,0
