tract_id,mar_19,mar_20,mar_21
36047015200,0,0,0
36047015300,0,0,0
36047015400,0,0,0
36047015500,171,119,59
36047015900,0,0,0
36047016000,0,0,0
36047016200,0,0,0
36047016300,0,0,0
36047016400,0,0,0
36047016700,0,0,0
36047016900,235,162,125
36047017000,0,0,0
36047017400,0,0,0
36047017700,659,451,349
36047017900,0,0,0
36047019100,0,0,0
36047019300,0,0,0
36047019500,102,51,37
36047019700,0,0,0
36047020000,0,0,0
36047020700,96,57,55
36047021000,0,0,0
36047021100,0,0,0
36047021300,0,0,0
36047021400,0,0,0
36047021500,0,0,0
36047021700,60,0,0
36047021900,0,0,0
36047022000,0,0,0
36047022100,0,0,0
36047022200,0,0,0
36047022600,0,0,0
36047022700,0,0,0
36047023200,0,0,0
36047023300,0,0,0
36047023400,147,131,104
36047023600,0,0,0
36047024100,0,0,0
36047024200,0,0,0
36047024300,291,151,225
36047024400,0,0,0
36047024500,606,449,270
36047024700,0,0,329
36047024800,452,307,234
36047024900,0,0,0
36047025000,230,139,213
36047025300,0,0,0
36047025400,0,0,0
36047025600,135,413,317
36047025700,0,0,0
36047025901,0,0,0
36047026000,0,0,0
36047026100,0,0,0
36047026200,0,0,0
36047026300,0,0,0
36047026700,0,0,0
36047027100,0,0,0
36047027300,0,0,0
36047027500,251,180,0
36047027600,265,178,153
36047027800,0,0,0
36047027900,537,407,229
36047028100,678,421,209
36047028300,0,0,0
36047028700,224,103,65
36047028800,0,0,0
36047028900,0,0,0
36047029300,0,0,0
36047029600,0,0,0
36047029700,0,0,0
36047029800,343,0,0
36047030000,0,0,0
36047030100,0,0,0
36047030200,0,0,0
36047030300,0,0,0
36047030400,584,908,365
36047030500,0,0,0
36047030600,0,0,0
36047030700,0,0,0
36047030800,0,0,0
36047031400,0,0,0
36047031500,335,230,75
36047031701,289,179,84
36047031702,0,0,0
36047031900,0,0,0
36047032100,0,0,0
36047032600,0,0,512
36047032800,0,0,0
36047032900,167,84,55
36047033600,0,0,0
36047033900,0,0,0
36047034000,0,0,0
36047034200,0,0,0
36047034300,0,0,0
36047034500,0,0,0
36047034900,0,0,0
36047035100,4845,2344,1267
36047035200,355,288,162
36047035300,0,0,0
36047035400,857,873,1291
36047035700,0,0,0
36047036001,0,0,0
36047036100,0,0,0
36047036200,0,0,0
36047036300,0,0,0
36047036400,0,0,0
36047036501,0,0,0
36047036700,0,0,0
36047036900,0,0,0
36047037000,0,0,0
36047037100,0,0,0
36047037402,207,389,507
36047037500,0,0,0
36047037700,280,0,0
36047038100,237,81,64
36047038200,0,0,0
36047038300,0,0,0
36047038500,0,0,0
36047038600,0,0,0
36047038700,0,0,0
36047038800,0,0,0
36047038900,0,0,0
36047039300,130,84,108
36047039500,153,67,57
36047039700,0,0,0
36047039800,0,0,0
36047040100,0,0,0
36047040200,203,0,0
36047040300,0,0,0
36047040500,0,0,0
36047040800,0,0,0
36047041000,0,0,0
36047041200,0,0,0
36047041401,0,0,0
36047041402,290,213,193
36047041500,0,0,0
36047041700,0,0,0
36047041800,0,0,0
36047042300,0,0,0
36047042800,0,0,0
36047042900,0,0,0
36047043000,0,0,0
36047043200,568,567,486
36047043300,0,0,0
36047043500,0,0,0
36047043700,0,0,0
36047043800,0,0,0
36047044000,0,0,0
36047044100,0,0,0
36047044200,0,0,0
36047044300,0,0,0
36047044400,0,0,0
36047044500,0,0,0
36047044700,0,0,0
36047044800,0,0,0
36047044900,160,218,193
36047045300,51,33,22
36047045600,105,95,224
36047046000,308,193,129
36047046202,0,0,0
36047046800,0,0,0
36047047600,0,0,0
36047048400,0,0,0
36047048500,0,0,0
36047049000,0,0,0
36047049100,0,0,0
36047049200,0,0,0
36047049400,0,0,0
36047049500,0,0,0
36047049900,0,0,0
36047050000,0,0,440
36047050100,0,0,0
36047050202,0,0,0
36047050300,78,178,83
36047050600,0,0,0
36047050803,0,0,0
36047051001,0,0,0
36047051002,0,0,0
36047051100,0,0,0
36047051200,0,0,0
36047051300,51,20,19
36047051400,0,0,0
36047051500,0,0,0
36047051700,0,0,0
36047051900,0,0,0
36047052000,0,0,0
36047052300,0,0,0
36047052500,249,0,0
36047052700,0,0,0
36047052900,0,0,0
36047053100,0,0,0
36047053400,0,0,0
36047053500,205,92,172
36047053700,0,0,0
36047053800,0,0,0
36047053900,0,0,0
36047054200,0,0,0
36047054300,714,395,393
36047054600,0,0,0
36047054700,0,0,0
36047054900,335,81,80
36047055100,0,0,0
36047055300,889,511,456
36047055400,372,0,0
36047055500,815,381,450
36047055600,0,0,0
36047055700,19,14,8
36047056100,143,122,80
36047056200,0,0,0
36047056300,0,0,0
36047056400,0,0,0
36047056500,0,0,0
36047056900,289,168,212
36047057000,0,0,139
36047057100,60,14,25
36047057300,0,0,0
36047057400,0,0,0
36047057800,0,0,0
36047057900,0,0,0
36047058000,0,0,0
36047058200,16,16,0
36047058800,450,283,264
36047058900,0,0,0
36047059000,433,291,176
36047059100,0,0,0
36047059200,0,0,0
36047059300,0,0,0
36047059401,0,0,0
36047060000,0,0,0
36047060600,0,0,0
36047060800,0,0,0
36047061002,0,0,0
36047061004,622,376,299
36047061200,0,0,0
36047061600,113,72,134
36047062600,0,0,0
36047063200,246,405,287
36047064600,0,0,0
